key_droid	key_apple	base_value	lang_value	base_note
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	Все существующие данные будут удалены перед восстановлением из резервной копии. Вы хотите продолжить?	
restore_confirm_title		Restore Backup	Восстановить резервную копию	
restore_failed		Restore failed	Сбой восстановления из резервной копии	
restore_success		Restore successful	Восстановление из резервной копии прошло успешно	
task_backup_title		Backing up	Создание резервной копии	
task_calculating_streaks_title		Calculating progress	Оценка прогресса	
task_generating_random_data		Generating random data	Генерация случайных данных	
task_loading_servings_history_title		Loading Servings History	Загрузка истории порций	
task_loading_weights_history_title		Loading Weights History	Загрузка истории веса	
task_restore_title		Restoring	Восстановление	
title_cookbook		Cookbook	Кулинарная книга	
title_how_not_to_die		How Not to Die	Не сдохни! Еда в борьбе за жизнь	
title_how_not_to_diet		How Not to Diet	Не сдохни на диете	
tweak_group_daily		Every Day	Каждый день	
tweak_group_dailydoses		Take your daily doses	Принимайте ежедневно	
tweak_group_meal		At Each Meal	С каждым приемом пищи	
tweak_group_nightly		Every Night	Каждый вечер	
yes		Yes	Да	
