key_droid	key_apple	base_value	lang_value	base_note
android.about_text_lines.1		The following open source libraries are used: ActiveAndroid, android-iconify, EventBus, LikeAnimation, and MPAndroidChart.	Die folgenden Open-Source-Bibliotheken werden verwendet: ActiveAndroid, android-iconify, EventBus, LikeAnimation und MPAndroidChart.	
android.about_text_lines.2		Special thanks to the volunteer efforts of the creators of the previous app: Chan Kruse, Allan Portera, and Sangeeta Kumar."	Besonderer Dank gilt den freiwilligen Helfern, die die vorherige App entwickelt haben: Chan Kruse, Allan Portera und Sangeeta Kumar."	
average_weight_on_day		Average weight on day	Durchschnittliches Gewicht am Tag	
backup		Backup	Sicherung	
backup_failed		Backup failed	Sicherung fehlgeschlagen	
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app	Gehen Sie folgendermaßen vor, um diese Sicherung in der Daily Dozen-App wiederherzustellen	
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	1. Die Daily Dozen-App muss auf Ihrem Android-Telefon installiert sein. Sie können sie hier herunterladen: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.	2. Tippen Sie auf die an diese E-Mail angehängte Sicherungsdatei.	
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen	3. Wählen Sie Mit täglichem Dutzend öffnen	
backup_success		Backup successful	Sicherung erfolgreich	
channel_reminders_name		Reminders	Erinnerungen	
daily_servings_history		Daily Servings History	Verlauf der täglichen Portionen	
daily_tweaks_history		Daily Tweaks History	Verlauf der täglichen Optimierungen	
debug		Debug	Debuggen	
debug_clear_data		Clear all data	Alle Daten löschen	
debug_clear_data_message		This will delete all entered Servings. Do you wish to continue?	Dadurch werden alle eingegebenen Portionen gelöscht. Möchten Sie fortfahren?	
debug_generate_data_message		All existing data will be replaced. Do you wish to continue?	Alle vorhandenen Daten werden ersetzt. Möchten Sie fortfahren?	
debug_generate_full_data		Generate full data	Vollständige Daten erzeugen	
debug_generate_random_data		Generate random data	Zufallsdaten erzeugen	
debug_generate_weight_data		Generate Weight Data	Gewichtsdaten erzeugen	
dialog_ask_user_to_rate_app_message		Please give us feedback in the Play Store.	Bitte geben Sie uns Feedback im Play Store.	
dialog_ask_user_to_rate_app_title		Do you like this app?	Gefällt Ihnen diese App?	
dialog_no_email_apps_message		Backing up your data requires you to have an email app installed so you can email the .csv backup file to yourself. Please install an email app and try again.	Um Ihre Daten zu sichern, müssen Sie eine E-Mail-Anwendung installieren, damit Sie sich die .csv-Sicherungsdatei per E-Mail zusenden können. Bitte installieren Sie eine E-Mail-Anwendung und versuchen Sie es erneut.	
dialog_no_email_apps_title		No email apps found	Keine E-Mail-Anwendungen gefunden	
dialog_streaks_message		Your database will now be upgraded to support the new progress feature.	Ihre Datenbank wird nun aktualisiert, um die neue Fortschrittsfunktion zu unterstützen.	
dialog_streaks_title		New progress feature added!	Neue Fortschrittsfunktion hinzugefügt!	
error_cannot_handle_url		Could not open url. Please install a browser.	Die Url konnte nicht geöffnet werden. Bitte installieren Sie einen Browser.	
food_history		Food History	Nahrungsmittelverlauf	
food_info		Food Info	Nahrungsmittelinformation	
format_version		version %s	Version %s	
history_to_generate		History to Generate	Zu generierender Verlauf	
history_to_generate_choices.0		1 month	1 Monat	
history_to_generate_choices.1		3 months	3 Monate	
history_to_generate_choices.2		6 months	6 Monate	
history_to_generate_choices.3		1 year	1 Jahr	
history_to_generate_choices.4		2 years	2 Jahre	
history_to_generate_choices.5		5 years	5 Jahre	
moving_average		Moving Average	Gleitender Mittelwert	
no		No	Nein	
no_servings_recorded		You have not recorded any servings yet!	Sie haben noch keine Portionen aufgezeichnet!	
no_weights_recorded		You have not recorded any weights yet!	Sie haben noch keine Gewichte aufgezeichnet!	
not_now		Not Now	Nicht jetzt	
permission_needed_to_write_storage		Can\'t backup without permission to write to storage	Keine Sicherung ohne Berechtigung zum Schreiben in den Speicher möglich	
rate_now		Give Feedback	Rückmeldung geben	
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	Alle vorhandenen Daten werden vor der Wiederherstellung aus dem Backup gelöscht. Möchten Sie fortfahren?	
restore_confirm_title		Restore Backup	Sicherung wiederherstellen	
restore_failed		Restore failed	Wiederherstellen fehlgeschlagen	
restore_success		Restore successful	Wiederherstellen erfolgreich	
task_backup_title		Backing up	Sicherung läuft	
task_calculating_streaks_title		Calculating progress	Fortschirtte wird berechnet	
task_generating_random_data		Generating random data	Zufallsdaten werden generiert	
task_loading_servings_history_title		Loading Servings History	Lade Verlauf der Portionen	
task_loading_weights_history_title		Loading Weights History	Lade Verlauf des Gewichts	
task_restore_title		Restoring	Wiederherstellung läuft	
title_cookbook		Cookbook	Kochbuch	
title_how_not_to_die		How Not to Die	How Not to Die (Wie man nicht stirbt)	
title_how_not_to_diet		How Not to Diet	How not to Diet (Wie man sich nicht ernährt)	
tweak_group_daily		Every Day	Jeden Tag	
tweak_group_dailydoses		Take your daily doses	Nehmen Sie Ihre tägliche Dosis	
tweak_group_meal		At Each Meal	Zu jeder Mahlzeit	
tweak_group_nightly		Every Night	Jede Nacht	
yes		Yes	Ja	
