key_droid	key_apple	base_value	lang_value	base_note
dialog_streaks_message		Your database will now be upgraded to support the new progress feature.	מסד הנתונים שלכם ישודרג כעת לתמיכה בתכונת ההתקדמות החדשה.	
dialog_streaks_title		New progress feature added!	נוספה תכונת התקדמות חדשה!	
error_cannot_handle_url		Could not open url. Please install a browser.	לא ניתן היה לפתוח את כתובת האתר. אנא התקן דפדפן.	
food_history		Food History	הסטוריית המזון	
food_info		Food Info	מידע על מזון	
format_version		version %s	יצירת הסטוריה	
history_to_generate		History to Generate	היסטוריה לייצוא	
history_to_generate_choices.0		1 month	חודש 1	
history_to_generate_choices.1		3 months	3 חודשים	
history_to_generate_choices.2		6 months	6 חודשים	
history_to_generate_choices.3		1 year	שנה אחת	
history_to_generate_choices.4		2 years	שנתיים	
history_to_generate_choices.5		5 years	5 שנים	
moving_average		Moving Average	ממוצע נע	
no		No	לא	
no_servings_recorded		You have not recorded any servings yet!	טרם תעדתם מנה כלשהי!	
no_weights_recorded		You have not recorded any weights yet!	טרם תעדתם משקל כלשהו!	
not_now		Not Now	לא עכשיו	
permission_needed_to_write_storage		Can\'t backup without permission to write to storage	לא ניתן לגבות ללא הרשאה לכתיבה לאחסון	
rate_now		Give Feedback	תנו משוב	
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	כל הנתונים הקיימים יימחקו לפני שחזורם מהגיבוי. האם אתם רוצים להמשיך?	
restore_confirm_title		Restore Backup	שחזרו גיבוי	
restore_failed		Restore failed	שיחזור נכשל	
restore_success		Restore successful	השחזור הצליח	
task_backup_title		Backing up	מגבה	
task_calculating_streaks_title		Calculating progress	מחשב התקדמות	
task_generating_random_data		Generating random data	מייצר מידע אקראי	
task_loading_servings_history_title		Loading Servings History	טוען הסטוריית מנות	
task_loading_weights_history_title		Loading Weights History	טוען הסטוריי משקלים	
task_restore_title		Restoring	מאחסן	
title_cookbook		Cookbook	ספר בישול	
title_how_not_to_die		How Not to Die	כיצד לא למות	
title_how_not_to_diet		How Not to Diet	כיצד לא לרזות	
tweak_group_daily		Every Day	כל יום	
tweak_group_dailydoses		Take your daily doses	קחו את המנות היומיות שלכם	
tweak_group_meal		At Each Meal	בכל ארוחה	
tweak_group_nightly		Every Night	כל לילה	
yes		Yes	כן	
